node1	node2	dirnode1	dirnode2	dir	logFCnode1	logFCnode2	fdrnode1	fdrnode2	pairs
hsa-miR-20a-5p	ESR1	up	down	o	5.37388813738188	-1.61349073006713	2.90774795958271e-11	0.00179990088267055	hsa-miR-20a-5p|ESR1
hsa-miR-18a-5p	ESR1	up	down	o	5.20380312632682	-1.61349073006713	5.66670838817961e-11	0.00179990088267055	hsa-miR-18a-5p|ESR1
hsa-miR-19b-3p	ESR1	up	down	o	2.56306903886971	-1.61349073006713	2.7041434800811e-07	0.00179990088267055	hsa-miR-19b-3p|ESR1
hsa-miR-26a-5p	ESR1	up	down	o	3.46962061718514	-1.61349073006713	3.58101944166065e-10	0.00179990088267055	hsa-miR-26a-5p|ESR1
hsa-miR-19a-3p	ESR1	up	down	o	2.63769949808488	-1.61349073006713	2.85468252060469e-08	0.00179990088267055	hsa-miR-19a-3p|ESR1
hsa-miR-222-3p	ESR1	up	down	o	2.32216649244537	-1.61349073006713	2.79620625045934e-09	0.00179990088267055	hsa-miR-222-3p|ESR1
hsa-miR-454-3p	ESR1	up	down	o	4.50005439382554	-1.61349073006713	2.69850385175126e-14	0.00179990088267055	hsa-miR-454-3p|ESR1
hsa-miR-148b-3p	ESR1	up	down	o	1.2743024553372	-1.61349073006713	0.0282441603233067	0.00179990088267055	hsa-miR-148b-3p|ESR1
hsa-miR-107	ESR1	up	down	o	2.70508555266788	-1.61349073006713	2.39195229948775e-06	0.00179990088267055	hsa-miR-107|ESR1
hsa-miR-190b	ESR1	up	down	o	1.6799191839069	-1.61349073006713	0.0105424436344854	0.00179990088267055	hsa-miR-190b|ESR1
hsa-miR-26b-5p	ESR1	up	down	o	4.91580206477167	-1.61349073006713	2.37451653056682e-10	0.00179990088267055	hsa-miR-26b-5p|ESR1
hsa-miR-301a-3p	ESR1	up	down	o	3.52143008055101	-1.61349073006713	2.89912394589841e-08	0.00179990088267055	hsa-miR-301a-3p|ESR1
hsa-miR-301b-3p	ESR1	up	down	o	1.96264467674135	-1.61349073006713	0.000370057985067336	0.00179990088267055	hsa-miR-301b-3p|ESR1
hsa-miR-182-5p	FAM134B	up	down	o	1.80522836469063	-1.40860769375623	0.00536837950369884	0.00153752402588032	hsa-miR-182-5p|FAM134B
hsa-miR-320b	FAM134B	up	down	o	1.35910833364961	-1.40860769375623	0.010754973667569	0.00153752402588032	hsa-miR-320b|FAM134B
hsa-miR-31-5p	FAM134B	up	down	o	2.10848938826639	-1.40860769375623	0.00683129608573208	0.00153752402588032	hsa-miR-31-5p|FAM134B
hsa-miR-1271-5p	FAM134B	up	down	o	2.87470800440553	-1.40860769375623	2.30389261234386e-09	0.00153752402588032	hsa-miR-1271-5p|FAM134B
hsa-miR-129-5p	FAM134B	up	down	o	1.38779081829636	-1.40860769375623	0.0114469451057575	0.00153752402588032	hsa-miR-129-5p|FAM134B
hsa-miR-146a-5p	FAM65B	down	up	o	-1.16595538914752	1.0849773163626	0.00945756173771955	0.00502986487853862	hsa-miR-146a-5p|FAM65B
hsa-miR-369-3p	FAM65B	down	up	o	-2.16943254231645	1.0849773163626	0.00143366920293941	0.00502986487853862	hsa-miR-369-3p|FAM65B
ZAP70	FCRL3	up	up	u	1.21123216909793	1.22307895132296	0.00412253959627465	0.00676405379208034	ZAP70|FCRL3
hsa-miR-200a-3p	GATA3	up	down	o	3.28099895909528	-1.12378873613056	5.71086052616144e-05	0.0219065995665794	hsa-miR-200a-3p|GATA3
IL33	GATA3	up	down	o	1.32682561006061	-1.12378873613056	0.0160597026753889	0.0219065995665794	IL33|GATA3
hsa-miR-27b-3p	GATA3	up	down	o	1.46974073633405	-1.12378873613056	7.46655174176041e-05	0.0219065995665794	hsa-miR-27b-3p|GATA3
hsa-miR-135a-5p	GATA3	up	down	o	1.7064731711533	-1.12378873613056	0.0175282107165601	0.0219065995665794	hsa-miR-135a-5p|GATA3
hsa-miR-141-3p	GATA3	up	down	o	4.72425713134631	-1.12378873613056	3.76510281817717e-11	0.0219065995665794	hsa-miR-141-3p|GATA3
hsa-miR-10b-5p	GATA3	up	down	o	4.65112750951584	-1.12378873613056	8.42763533975967e-10	0.0219065995665794	hsa-miR-10b-5p|GATA3
ESR1	GATA3	down	down	d	-1.61349073006713	-1.12378873613056	0.00179990088267055	0.0219065995665794	ESR1|GATA3
hsa-miR-155-5p	GATA3	up	down	o	1.32431760355812	-1.12378873613056	0.00671914291763013	0.0219065995665794	hsa-miR-155-5p|GATA3
hsa-miR-374a-5p	GATA3	up	down	o	1.89447560990763	-1.12378873613056	1.05828222269153e-05	0.0219065995665794	hsa-miR-374a-5p|GATA3
hsa-miR-10a-5p	GATA3	up	down	o	4.98348360781001	-1.12378873613056	2.54081095548221e-09	0.0219065995665794	hsa-miR-10a-5p|GATA3
EEF1A2	H2AFJ	down	down	d	-3.16921046006367	-1.0529417990017	0.00562936369936834	0.00888411651247742	EEF1A2|H2AFJ
LCP1	H2AFJ	up	down	o	1.01160249592574	-1.0529417990017	0.0164288475079031	0.00888411651247742	LCP1|H2AFJ
PIM1	HEXIM2	up	down	o	1.06576967511139	-1.03739782540951	0.00396584361144627	0.000334203043222083	PIM1|HEXIM2
hsa-miR-494-3p	IGF1	down	up	o	-2.33786094593974	1.20412504138023	5.62113054088687e-05	0.0363838687058894	hsa-miR-494-3p|IGF1
hsa-miR-206	IGF1	down	up	o	-1.14122601649526	1.20412504138023	0.0448859858515588	0.0363838687058894	hsa-miR-206|IGF1
IGKV1D-16	IGHA1	up	up	u	2.72294358669483	2.79464981329531	0.00139973247615749	0.0205654577537117	IGKV1D-16|IGHA1
