Gene.Symbol	Freq	Rank.Muts
SLC35B2	72	14953.5
SLC4A2	72	14953.5
SYT14	72	14953.5
TBX5	72	14953.5
UQCC1	72	14953.5
ATP2B4	71	14932
BIRC6	71	14932
CAMKMT	71	14932
CTBP2	71	14932
EP300	71	14932
FBXL17	71	14932
IKBKE	71	14932
ILDR2	71	14932
PITX2	71	14932
PRICKLE1	71	14932
PTBP1	71	14932
SALL1	71	14932
SIPA1L1	71	14932
TBCE	71	14932
TIAM2	71	14932
A1CF	70	14908
ALG13	70	14908
ARFRP1	70	14908
AXIN2	70	14908
BABAM2	70	14908
BAG6	70	14908
BTBD3	70	14908
CEP290	70	14908
EBF2	70	14908
ECE1	70	14908
EPB41L1	70	14908
FLNC	70	14908
KIAA1328	70	14908
KRIT1	70	14908
MARK3	70	14908
NDRG4	70	14908
NFIX	70	14908
NLGN4X	70	14908
PAN2	70	14908
PC	70	14908
PDZRN3	70	14908
R3HDM1	70	14908
RNF150	70	14908
SEPT8	70	14908
SHPRH	70	14908
SLC9A6	70	14908
SLMAP	70	14908
SORCS3	70	14908
SUPT3H	70	14908
SYT1	70	14908
THEMIS	70	14908
TRAK1	70	14908
TRPM1	70	14908
ADRA1A	69	14880.5
ATP13A3	69	14880.5
DAB1	69	14880.5
DIP2C	69	14880.5
DNMT3B	69	14880.5
ELAVL2	69	14880.5
FGF13	69	14880.5
FPGT-TNNI3K	69	14880.5
HIF1A	69	14880.5
HIPK3	69	14880.5
IARS	69	14880.5
INPPL1	69	14880.5
KCNIP4	69	14880.5
MCF2L2	69	14880.5
MEF2A	69	14880.5
PHTF2	69	14880.5
RAP1GAP	69	14880.5
SCAF4	69	14880.5
SCAF8	69	14880.5
SZT2	69	14880.5
TNFAIP3	69	14880.5
USP34	69	14880.5
ARAP1	68	14855.5
ARID5B	68	14855.5
BCL6	68	14855.5
BRPF3	68	14855.5
CACNA1I	68	14855.5
CAD	68	14855.5
CARF	68	14855.5
CUL4B	68	14855.5
DAXX	68	14855.5
DOCK1	68	14855.5
DROSHA	68	14855.5
EPHB2	68	14855.5
GLI3	68	14855.5
ITPR3	68	14855.5
JAKMIP1	68	14855.5
MARCH10	68	14855.5
MRTFA	68	14855.5
MUSK	68	14855.5
NOP2	68	14855.5
OGDH	68	14855.5
OLA1	68	14855.5
PCMTD1	68	14855.5
PCNX2	68	14855.5
PTPRN2	68	14855.5
RPTOR	68	14855.5
SATB1	68	14855.5
THBS3	68	14855.5
TTLL5	68	14855.5
AKAP13	67	14834
BEST3	67	14834
CBL	67	14834
CHN2	67	14834
CNTNAP2	67	14834
IGF2BP2	67	14834
NR3C1	67	14834
PCDHGB2	67	14834
RFX4	67	14834
RRBP1	67	14834
SF1	67	14834
TRIM2	67	14834
TRIM55	67	14834
WSCD2	67	14834
ZNF608	67	14834
FSD1L	66	14816.5
FSTL5	66	14816.5
JAK1	66	14816.5
KDM2B	66	14816.5
MAGI3	66	14816.5
MAPK9	66	14816.5
MASP1	66	14816.5
NUP153	66	14816.5
PALLD	66	14816.5
PCCB	66	14816.5
PIK3R5	66	14816.5
POLR1C	66	14816.5
PPP1R12A	66	14816.5
SKAP1	66	14816.5
SLC4A10	66	14816.5
SPHKAP	66	14816.5
TAOK3	66	14816.5
WWP2	66	14816.5
ZFAT	66	14816.5
ZNF668	66	14816.5
ARHGEF4	65	14796
EEF1A1	65	14796
EEF1D	65	14796
HERC2	65	14796
KDM2A	65	14796
KIAA0319	65	14796
MATR3	65	14796
NEDD9	65	14796
NOTCH1	65	14796
PCDHGB4	65	14796
